Customer ID,Customer Name,Region,Segment
BM-11575,Brendan Murry,East,Corporate
BM-11575,Brendan Murry,East,Corporate
BM-11575,Brendan Murry,East,Corporate
LR-16915,Lena Radford,West,Consumer
CA-12310,Christine Abelman,Central,Corporate
CA-12310,Christine Abelman,Central,Corporate
CA-12310,Christine Abelman,Central,Corporate
BO-11350,Bill Overfelt,Central,Corporate
BO-11350,Bill Overfelt,Central,Corporate
EB-13975,Erica Bern,South,Corporate
BP-11185,Ben Peterman,East,Corporate
BP-11185,Ben Peterman,East,Corporate
AJ-10795,Anthony Johnson,South,Corporate
AJ-10795,Anthony Johnson,South,Corporate
AJ-10795,Anthony Johnson,South,Corporate
DW-13480,Dianna Wilson,West,Home Office
NM-18520,Neoma Murray,Central,Consumer
NM-18520,Neoma Murray,Central,Consumer
JO-15145,Jack O'Briant,Central,Corporate
JO-15145,Jack O'Briant,Central,Corporate
VS-21820,Vivek Sundaresam,South,Consumer
VS-21820,Vivek Sundaresam,South,Consumer
VS-21820,Vivek Sundaresam,South,Consumer
LA-16780,Laura Armstrong,West,Corporate
LA-16780,Laura Armstrong,West,Corporate
MF-17665,Maureen Fritzler,East,Corporate
KB-16585,Ken Black,West,Corporate
KB-16585,Ken Black,West,Corporate
JB-16000,Joy Bell-,West,Consumer
DE-13255,Deanra Eno,East,Home Office
DE-13255,Deanra Eno,East,Home Office
DE-13255,Deanra Eno,East,Home Office
MP-17470,Mark Packer,East,Home Office
AG-10675,Anna Gayman,South,Consumer
AG-10675,Anna Gayman,South,Consumer
Dp-13240,Dean percer,East,Home Office
Dp-13240,Dean percer,East,Home Office
Dp-13240,Dean percer,East,Home Office
RC-19825,Roy Collins,East,Consumer
WB-21850,William Brown,East,Consumer
WB-21850,William Brown,East,Consumer
WB-21850,William Brown,East,Consumer
BE-11335,Bill Eplett,East,Home Office
EH-13945,Eric Hoffmann,West,Consumer
EH-13945,Eric Hoffmann,West,Consumer
CC-12430,Chuck Clark,East,Home Office
CC-12430,Chuck Clark,East,Home Office
CC-12430,Chuck Clark,East,Home Office
DL-13495,Dionis Lloyd,South,Corporate
TD-20995,Tamara Dahlen,West,Consumer
TD-20995,Tamara Dahlen,West,Consumer
PG-18895,Paul Gonzalez,East,Consumer
CM-11935,Carlos Meador,South,Consumer
CM-11935,Carlos Meador,South,Consumer
CM-11935,Carlos Meador,South,Consumer
AJ-10795,Anthony Johnson,West,Corporate
MC-17275,Marc Crier,West,Consumer
FP-14320,Frank Preis,West,Consumer
FP-14320,Frank Preis,West,Consumer
BT-11530,Bradley Talbott,East,Home Office
BT-11530,Bradley Talbott,East,Home Office
TB-21280,Toby Braunhardt,East,Consumer
CB-12415,Christy Brittain,West,Consumer
CB-12535,Claudia Bergmann,East,Corporate
CB-12535,Claudia Bergmann,East,Corporate
CB-12535,Claudia Bergmann,East,Corporate
HG-14965,Henry Goldwyn,South,Corporate
TB-21355,Todd Boyes,East,Corporate
TB-21355,Todd Boyes,East,Corporate
JD-15895,Jonathan Doherty,East,Corporate
JD-15895,Jonathan Doherty,East,Corporate
JD-15895,Jonathan Doherty,East,Corporate
JD-15895,Jonathan Doherty,East,Corporate
HG-14965,Henry Goldwyn,West,Corporate
JF-15490,Jeremy Farry,West,Consumer
SC-20725,Steven Cartwright,West,Consumer
SC-20725,Steven Cartwright,West,Consumer
SC-20725,Steven Cartwright,West,Consumer
TB-21250,Tim Brockman,West,Consumer
TB-21250,Tim Brockman,West,Consumer
HE-14800,Harold Engle,Central,Corporate
DF-13135,David Flashing,Central,Consumer
DF-13135,David Flashing,Central,Consumer
DF-13135,David Flashing,Central,Consumer
